r_m,Omega_rad_s,v_theta_m_s,dynamic_pressure_Pa,energy_density_J_m3,time_dilation
1e-18,7.757932599593847e+20,775.7932599593847,0.2106493137694433,71.36203450093922,0.9999999999966517
3.489101213406781e-18,7.744239454750512e+20,2702.043527848268,2.5553637292353493,865.6850162243167,0.9999999999593824
1.217382727739657e-17,7.69665168886072e+20,9369.7708274473,30.727411875608865,10409.578778840776,0.9999999995115862
4.247571552536894e-17,7.532891609899999e+20,31996.496110555083,358.32151717346824,121389.20375951957,0.9999999943044617
1.48202070579886e-16,6.988325307760025e+20,103568.42804958548,3754.246751031757,1271832.7032643303,0.9999999403260608
5.170920242896755e-16,5.3785866720490036e+20,278122.42700672883,27073.22954143962,9171645.072163137,0.9999995696695874
1.804186409392068e-15,2.1574469253887797e+20,389243.6421771139,53028.71454135678,17964629.88140861,0.9999991571056093
6.294988990221888e-15,8.906678934111031e+18,56067.44582967016,1100.2454686520493,372732.07155749603,0.9999999825115439
2.1963853724165516e-14,131830843564117.9,2.8955133643756326,2.934399175147263e-06,0.000994091513659432,0.9999999999999999
7.663410868007431e-14,0.0018565609248115348,1.4227589168318644e-16,7.08485027398603e-39,2.4001470531233234e-36,1.0
2.673841615839944e-13,2.9702337201592933e-62,7.941934529733013e-75,2.207601342609794e-155,7.478729474906667e-153,1.0
1e-12,4.5149784494015954e-288,4.5149784494015956e-300,0.0,0.0,1.0
