lambda_r_c,mu_C_e,Gamma[m^2/s],H_swirl[m^4/s^2]
0.1,0.1,9.683619203488878e-11,9.377248087817858e-21
0.1,0.5,4.841809601744438e-10,2.3443120219544634e-19
0.1,1.0,9.683619203488876e-10,9.377248087817853e-19
0.1,2.0,1.9367238406977753e-09,3.7508992351271414e-18
0.1,5.0,4.841809601744438e-09,2.3443120219544634e-17
0.1,10.0,9.683619203488876e-09,9.377248087817854e-17
0.5,0.1,4.841809601744438e-10,2.3443120219544634e-19
0.5,0.5,2.420904800872219e-09,5.8607800548861586e-18
0.5,1.0,4.841809601744438e-09,2.3443120219544634e-17
0.5,2.0,9.683619203488876e-09,9.377248087817854e-17
0.5,5.0,2.420904800872219e-08,5.860780054886158e-16
0.5,10.0,4.841809601744438e-08,2.3443120219544633e-15
1.0,0.1,9.683619203488876e-10,9.377248087817853e-19
1.0,0.5,4.841809601744438e-09,2.3443120219544634e-17
1.0,1.0,9.683619203488876e-09,9.377248087817854e-17
1.0,2.0,1.9367238406977752e-08,3.7508992351271415e-16
1.0,5.0,4.841809601744438e-08,2.3443120219544633e-15
1.0,10.0,9.683619203488876e-08,9.377248087817853e-15
2.0,0.1,1.9367238406977753e-09,3.7508992351271414e-18
2.0,0.5,9.683619203488876e-09,9.377248087817854e-17
2.0,1.0,1.9367238406977752e-08,3.7508992351271415e-16
2.0,2.0,3.8734476813955504e-08,1.5003596940508566e-15
2.0,5.0,9.683619203488876e-08,9.377248087817853e-15
2.0,10.0,1.9367238406977752e-07,3.750899235127141e-14
5.0,0.1,4.841809601744438e-09,2.3443120219544634e-17
5.0,0.5,2.420904800872219e-08,5.860780054886158e-16
5.0,1.0,4.841809601744438e-08,2.3443120219544633e-15
5.0,2.0,9.683619203488876e-08,9.377248087817853e-15
5.0,5.0,2.420904800872219e-07,5.860780054886158e-14
5.0,10.0,4.841809601744438e-07,2.344312021954463e-13
10.0,0.1,9.683619203488876e-09,9.377248087817854e-17
10.0,0.5,4.841809601744438e-08,2.3443120219544633e-15
10.0,1.0,9.683619203488876e-08,9.377248087817853e-15
10.0,2.0,1.9367238406977752e-07,3.750899235127141e-14
10.0,5.0,4.841809601744438e-07,2.344312021954463e-13
10.0,10.0,9.683619203488876e-07,9.377248087817853e-13
