file,relative_path,ext,knot_id,closure_error,end_step,closure_true,closure_input,length_series_units,scale_m_per_unit,length_m,writhe,crossing_est,crossing_true,sigma,sigma_source,H_source,Hswirl_Xest(b0=3),Hswirl_Xid(b0=3),Hswirl_X(b0=3),hyperbolic_volume_meta,Hswirl_Vol(Vol/Vol(4_1)),xi,K_rhof_kg_per_m,K_rhoE_kg_per_m,mass_rhof_kg,mass_rhoE_kg,type_meta,chiral_meta
knot.10_1.fseries,knot.10_1.fseries,.fseries,10_1,0.017749192869036076,0.017749192869036076,1.6846514078731632e-15,,42.651139694088364,1.0,42.651139694088364,-3.355620922046083,12,10,-1.0,writhe_fallback,knot_id,-9.0,-7.0,-7.0,,,1.0,9.844625557369266e-39,8.22609107365531e-09,-2.9391914991834435e-36,-2.455965116631362e-06,,
knot.10_1n.fseries,knot.10_1n.fseries,.fseries,10_1n,0.017784655283111784,0.017784655283111784,1.7201740512391614e-15,,42.64328699199989,1.0,42.64328699199989,-3.3630362023694884,12,10,-1.0,writhe_fallback,knot_id,-9.0,-7.0,-7.0,,,1.0,9.844625557369266e-39,8.22609107365531e-09,-2.938650350801721e-36,-2.455512937333483e-06,,
knot.3_1.fseries,knot.3_1.fseries,.fseries,3_1,0.006262860287759012,0.006262860287759012,5.4672143489065705e-16,,15.228405886374807,1.0,15.228405886374807,3.4170872096009512,3,3,1.0,writhe_fallback,knot_id,0.0,0.0,0.0,,,1.0,9.844625557369266e-39,8.22609107365531e-09,0.0,0.0,,
knot.3_1p.fseries,knot.3_1p.fseries,.fseries,3_1p,0.0017280098100316123,0.0017280098100316123,1.6166525241419014e-16,,5.137075945772142,1.0,5.137075945772142,3.5988105496146625,3,3,1.0,writhe_fallback,knot_id,0.0,0.0,0.0,,,1.0,9.844625557369266e-39,8.22609107365531e-09,0.0,0.0,,
knot.3_1u.fseries,knot.3_1u.fseries,.fseries,3_1u,0.00692654717223432,0.00692654717223432,6.497413668604471e-16,,16.846652734868055,1.0,16.846652734868055,3.8909368765215295,4,3,1.0,writhe_fallback,knot_id,1.0,0.0,0.0,,,1.0,9.844625557369266e-39,8.22609107365531e-09,0.0,0.0,,
knot.4_1.fseries,knot.4_1.fseries,.fseries,4_1,0.0026023950987655703,0.0026023950987655703,2.434716104663692e-16,,6.167822047037545,1.0,6.167822047037545,0.19861551854518641,4,4,1.0,writhe_fallback,knot_id,1.0,1.0,1.0,,,1.0,9.844625557369266e-39,8.22609107365531e-09,6.071989855757144e-38,5.073706588502996e-08,,
knot.4_1d.fseries,knot.4_1d.fseries,.fseries,4_1d,0.003100859954594981,0.003100859954594981,2.9010936742221477e-16,,6.417758880624405,1.0,6.417758880624405,-0.002189875048437929,4,4,0.0,writhe_fallback,knot_id,0.0,0.0,0.0,,,1.0,9.844625557369266e-39,8.22609107365531e-09,0.0,0.0,,
knot.4_1p.fseries,knot.4_1p.fseries,.fseries,4_1p,0.0019431337913348495,0.0019431337913348495,1.852827602846592e-16,,5.2756489111286085,1.0,5.2756489111286085,0.1108717604953158,5,4,1.0,writhe_fallback,knot_id,2.0,1.0,1.0,,,1.0,9.844625557369266e-39,8.22609107365531e-09,5.193678810220404e-38,4.33979684155744e-08,,
knot.4_1z.fseries,knot.4_1z.fseries,.fseries,4_1z,0.003118845410100561,0.003118845410100561,3.2009291313835888e-16,,6.412925825933625,1.0,6.412925825933625,-0.0021896308315458284,4,4,0.0,writhe_fallback,knot_id,0.0,0.0,0.0,,,1.0,9.844625557369266e-39,8.22609107365531e-09,0.0,0.0,,
knot.5_2.fseries,knot.5_2.fseries,.fseries,5_2,0.0029020197813018687,0.0029020197813018687,2.5797851972738237e-16,,6.12688333490388,1.0,6.12688333490388,4.8147187876377275,5,5,1.0,writhe_fallback,knot_id,2.0,2.0,2.0,,,1.0,9.844625557369266e-39,8.22609107365531e-09,1.2063374453162915e-37,1.0080060062116057e-07,,
knot.5_2d.fseries,knot.5_2d.fseries,.fseries,5_2d,0.0025537323404482637,0.0025537323404482637,2.389181588769357e-16,,6.265969536408236,1.0,6.265969536408236,-4.607060434368968,6,5,-1.0,writhe_fallback,knot_id,-3.0,-2.0,-2.0,,,1.0,9.844625557369266e-39,8.22609107365531e-09,-1.2337224767964355e-37,-1.0308887214248778e-07,,
knot.5_2r.fseries,knot.5_2r.fseries,.fseries,5_2r,0.002722736823153196,0.002722736823153196,2.547310117092524e-16,,5.79686707677423,1.0,5.79686707677423,4.464269955932819,6,5,1.0,writhe_fallback,knot_id,3.0,2.0,2.0,,,1.0,9.844625557369266e-39,8.22609107365531e-09,1.1413597155336812e-37,9.537111303083769e-08,,
knot.6_1.fseries,knot.6_1.fseries,.fseries,6_1,0.002643808807007292,0.002643808807007292,2.473475967453165e-16,,6.084180196144456,1.0,6.084180196144456,1.4300746116260858,6,6,1.0,writhe_fallback,knot_id,3.0,3.0,3.0,,,1.0,9.844625557369266e-39,8.22609107365531e-09,1.7968942756381099e-37,1.5014706120604297e-07,,
knot.7_2.fseries,knot.7_2.fseries,.fseries,7_2,0.0020832301135266856,0.0020832301135266856,2.0253964504621835e-16,,5.837188770184136,1.0,5.837188770184136,6.225487712306661,7,7,1.0,writhe_fallback,knot_id,4.0,4.0,4.0,,,1.0,9.844625557369266e-39,8.22609107365531e-09,2.298597510005745e-37,1.9206898575061095e-07,,
knot.7_2d.fseries,knot.7_2d.fseries,.fseries,7_2d,0.002256415412943856,0.002256415412943856,2.1110037211191998e-16,,6.0245444635280645,1.0,6.0245444635280645,4.3551899141172,14,7,1.0,writhe_fallback,knot_id,11.0,4.0,4.0,,,1.0,9.844625557369266e-39,8.22609107365531e-09,2.372375375886236e-37,1.982338057370709e-07,,
knot.7_2r.fseries,knot.7_2r.fseries,.fseries,7_2r,0.0031169866215347707,0.0031169866215347707,2.916196409349307e-16,,5.808175331283973,1.0,5.808175331283973,5.857481585958945,8,7,1.0,writhe_fallback,knot_id,5.0,4.0,4.0,,,1.0,9.844625557369266e-39,8.22609107365531e-09,2.287172452321596e-37,1.9111431698760024e-07,,
knot.8_1.fseries,knot.8_1.fseries,.fseries,8_1,0.0020969034653934467,0.0020969034653934467,1.9618600818128155e-16,,5.521447140875818,1.0,5.521447140875818,2.7103586724208775,8,8,1.0,writhe_fallback,knot_id,5.0,5.0,5.0,,,1.0,9.844625557369266e-39,8.22609107365531e-09,2.7178289818364767e-37,2.2709963519609097e-07,,
knot.8_1d.fseries,knot.8_1d.fseries,.fseries,8_1d,0.002494138785045952,0.002494138785045952,3.7691271672767944e-16,,5.574841204361222,1.0,5.574841204361222,-1.971618476547045,8,8,-1.0,writhe_fallback,knot_id,-5.0,-5.0,-5.0,,,1.0,9.844625557369266e-39,8.22609107365531e-09,-2.7441112099364873e-37,-2.2929575734120833e-07,,
knot.9_2.fseries,knot.9_2.fseries,.fseries,9_2,0.016256332794662317,0.016256332794662317,1.4486177091987838e-15,,39.06213668197702,1.0,39.06213668197702,-6.7956571643052115,10,9,-1.0,writhe_fallback,knot_id,-7.0,-6.0,-6.0,,,1.0,9.844625557369266e-39,8.22609107365531e-09,-2.307312654629055e-36,-1.927972163265089e-06,,
knot.9_2n.fseries,knot.9_2n.fseries,.fseries,9_2n,0.016239347923281452,0.016239347923281452,1.7763568394002505e-15,,39.05672548232358,1.0,39.05672548232358,-6.800868058043103,10,9,-1.0,writhe_fallback,knot_id,-7.0,-6.0,-6.0,,,1.0,9.844625557369266e-39,8.22609107365531e-09,-2.306993027222629e-36,-1.9277050851380874e-06,,
