slot,angle_elec_deg,phase_star_A,phase_star_B
0,0.0,A,A
1,18.0,A,A
2,36.0,A,A
3,54.0,A,A
4,72.0,A,A
5,90.0,A,B
6,108.0,A,B
7,126.0,B,B
8,144.0,B,B
9,162.0,B,B
10,180.0,B,B
11,198.0,B,B
12,216.0,B,C
13,234.0,B,C
14,252.0,C,C
15,270.0,C,C
16,288.0,C,C
17,306.0,C,C
18,324.0,C,C
19,342.0,C,A
20,360.0,A,A
21,378.0,A,A
22,396.0,A,A
23,414.0,A,A
24,432.0,A,A
25,450.0,A,B
26,468.0,A,B
27,486.0,B,B
28,504.0,B,B
29,522.0,B,B
30,540.0,B,B
31,558.0,B,B
32,576.0,B,C
33,594.0,B,C
34,612.0,C,C
35,630.0,C,C
36,648.0,C,C
37,666.0,C,C
38,684.0,C,C
39,702.0,C,A
